name,chromosome,start_loc,end_loc
0-611,1,3531624,3531843
1-613,1,3670619,3672156
2-616,1,4085414,4085719
3-616,1,4132293,4132506
4-619,1,4491701,4493673
5-619,1,4496947,4497608
6-619,1,4567041,4567519
7-619,1,4571641,4572075
8-620,1,4689184,4689397
9-621,1,4785376,4785814
10-621,1,4807559,4808103
11-622,1,4857465,4858372
12-623,1,5018557,5019711
13-623,1,5083039,5083536
14-624,1,5189184,5189506
15-625,1,5350391,5351060
16-626,1,5430027,5430260
17-627,1,5567107,5567348
18-630,1,5916428,5917474
19-632,1,6214430,6215332
20-633,1,6359082,6359442
21-633,1,6382816,6383234
22-634,1,6436129,6436385
23-634,1,6441200,6441612
24-635,1,6568767,6568977
25-639,1,7088491,7089271
26-639,1,7190493,7190792
27-640,1,7334871,7335614
28-641,1,7397746,7398594
29-642,1,7488092,7488403
30-643,1,7609525,7609742
31-643,1,7709833,7710295
32-644,1,7819515,7819814
33-645,1,7993716,7994144
34-645,1,7994799,7995070
35-646,1,8000484,8000697
36-647,1,8156215,8156642
37-647,1,8157297,8157511
38-647,1,8162919,8163132
39-647,1,8218597,8218902
40-651,1,8661148,8661371
41-651,1,8688484,8689129
42-654,1,9120774,9121112
43-655,1,9175397,9175846
44-655,1,9235811,9236216
45-655,1,9299215,9300020
46-657,1,9545269,9546268
47-659,1,9699785,9700881
48-659,1,9747560,9748645
49-659,1,9797821,9798652
50-660,1,9848165,9848530
51-660,1,9943785,9944196
52-661,1,9967118,9968330
53-661,1,10037950,10038215
54-661,1,10039647,10040279
55-663,1,10232143,10233428
56-666,1,10735615,10735874
57-667,1,10805299,10805885
58-668,1,10993486,10994005
59-672,1,11414060,11414465
60-673,1,11626620,11626978
61-674,1,11729399,11729840
62-674,1,11782792,11783738
63-684,1,12990718,12991200
64-684,1,12991485,12992784
65-684,1,12996222,12996435
66-685,1,13126298,13126669
67-687,1,13372746,13374794
68-688,1,13550651,13550957
69-688,1,13551635,13551935
70-688,1,13589162,13590177
71-689,1,13660231,13660732
72-691,1,13897143,13897454
73-692,1,14113361,14113892
74-694,1,14309747,14310036
75-695,1,14506541,14507148
76-697,1,14755151,14755803
77-699,1,14975454,14976171
78-700,1,15083629,15084299
79-701,1,15286418,15287178
80-705,1,15742918,15743567
81-705,1,15805591,15806108
82-706,1,15892420,15893052
83-706,1,15934126,15934590
84-707,1,16092956,16093371
85-707,1,16104765,16106291
86-708,1,16169681,16169949
87-708,1,16205527,16205846
88-711,1,16516305,16516683
89-711,1,16518599,16520093
90-711,1,16618558,16619533
91-712,1,16656764,16657043
92-712,1,16665146,16665626
93-712,1,16739352,16739581
94-713,1,16834802,16835041
95-714,1,16953108,16953849
96-715,1,17091517,17091971
97-715,1,17096764,17098139
98-715,1,17145467,17145795
99-717,1,17389302,17390019
100-718,1,17466980,17467299
101-720,1,17705074,17705515
102-721,1,17903646,17903949
103-722,1,17957830,17958175
104-722,1,18047783,18048007
105-722,1,18058035,18058896
106-725,1,18472687,18472999
107-726,1,18517964,18518205
108-726,1,18537387,18538342
109-727,1,18658671,18659053
110-728,1,18872432,18872667
111-730,1,19103272,19103493
112-730,1,19104571,19104923
113-730,1,19131862,19132167
114-731,1,19209755,19210067
115-731,1,19213929,19214404
116-731,1,19236612,19236850
117-733,1,19398790,19399010
118-734,1,19623560,19623789
119-735,1,19693303,19693552
120-736,1,19799397,19799861
121-737,1,19999089,19999620
122-739,1,20284138,20284669
123-740,1,20432208,20433305
124-741,1,20486391,20487462
125-742,1,20648312,20648529
126-743,1,20819888,20820297
127-744,1,20890434,20890811
128-744,1,20935285,20935502
129-744,1,20951540,20951890
130-745,1,21078869,21079694
131-746,1,21201575,21202106
132-749,1,21581844,21582244
133-749,1,21584577,21584888
134-752,1,21961003,21962124
135-752,1,22000993,22001293
136-754,1,22236791,22237010
137-756,1,22533177,22534185
138-758,1,22805682,22806364
139-759,1,22922343,22922576
140-761,1,23101887,23102262
141-762,1,23256018,23257054
142-762,1,23302165,23302489
143-763,1,23355902,23356111
144-763,1,23382681,23383400
145-766,1,23761822,23763204
146-766,1,23782316,23782696
147-766,1,23786025,23786490
148-767,1,23885276,23885513
149-767,1,23921719,23922554
150-768,1,24005371,24005714
151-768,1,24099641,24100556
152-771,1,24496459,24496764
153-772,1,24586521,24587177
154-773,1,24678516,24679083
155-773,1,24721376,24721840
156-775,1,25015476,25015881
157-776,1,25119909,25120258
158-780,1,25662138,25663101
159-782,1,25829845,25830680
160-786,1,26415096,26415340
161-786,1,26474848,26475104
162-787,1,26592160,26592494
163-792,1,27139736,27140348
164-792,1,27159709,27160002
165-792,1,27181259,27181656
166-792,1,27194163,27194884
167-796,1,27730129,27730404
168-799,1,28175318,28175528
169-800,1,28192471,28192790
170-809,1,29368272,29368780
171-813,1,29942852,29943065
172-813,1,29947978,29948207
173-814,1,30042305,30043442
174-814,1,30066814,30067349
175-816,1,30310533,30310838
176-816,1,30371196,30371429
177-820,1,30873108,30874026
178-821,1,30948826,30950216
179-822,1,31075243,31075977
180-826,1,31701011,31701330
181-827,1,31730546,31730915
182-827,1,31734229,31734670
183-829,1,32073471,32074002
184-830,1,32172540,32173046
185-836,1,32915936,32916156
186-836,1,33019546,33020193
187-837,1,33046033,33046398
188-838,1,33256653,33256860
189-839,1,33407527,33408680
190-841,1,33669553,33670569
191-842,1,33719825,33720450
192-842,1,33757451,33757949
193-842,1,33814130,33814690
194-843,1,33906988,33907242
195-843,1,33907457,33908468
196-844,1,34006046,34006248
197-844,1,34011484,34011861
198-845,1,34177942,34178193
199-847,1,34348565,34348821
200-847,1,34417667,34418334
201-847,1,34439241,34440138
202-847,1,34459407,34459964
203-848,1,34472754,34472966
204-848,1,34579529,34579840
205-849,1,34678070,34678419
206-850,1,34750258,34751085
207-850,1,34801701,34802059
208-850,1,34842534,34843165
209-850,1,34849895,34850178
210-851,1,34930034,34930639
211-852,1,35048817,35049064
212-858,1,35788514,35788729
213-858,1,35789588,35789817
214-858,1,35795239,35795454
215-860,1,36068094,36069216
216-860,1,36103537,36104186
217-861,1,36243891,36244412
218-861,1,36269231,36269697
219-862,1,36307616,36308213
220-862,1,36368684,36369330
221-863,1,36444875,36445308
222-863,1,36471266,36472155
223-863,1,36511646,36513006
224-863,1,36546910,36547290
225-863,1,36556807,36558490
226-864,1,36683084,36683438
227-864,1,36691322,36691869
228-865,1,36709621,36710148
229-865,1,36770808,36771193
230-865,1,36779084,36779320
231-866,1,36938841,36940122
232-866,1,36957175,36957469
233-867,1,37029247,37029486
234-869,1,37299840,37300507
235-869,1,37319288,37319528
236-870,1,37429777,37430712
237-871,1,37540315,37541284
238-872,1,37719313,37720128
239-873,1,37864612,37865324
240-873,1,37875331,37875824
241-874,1,37890362,37890782
242-874,1,37996946,37997459
243-874,1,37997823,37998675
244-875,1,38129048,38130208
245-876,1,38210065,38210345
246-879,1,38626793,38628084
247-880,1,38705975,38706206
248-881,1,38835801,38836776
249-881,1,38897864,38898202
250-882,1,38987499,38988052
251-884,1,39193418,39194435
252-885,1,39367434,39368617
253-886,1,39478123,39478997
254-886,1,39535587,39536365
255-886,1,39576525,39577527
256-887,1,39650441,39651282
257-888,1,39720818,39721022
258-889,1,39900472,39901459
259-889,1,39935981,39936301
260-891,1,40195111,40195616
261-892,1,40266556,40266876
262-892,1,40325809,40326019
263-893,1,40458142,40458380
264-895,1,40681006,40682084
265-896,1,40790518,40790811
266-906,1,42137434,42137667
267-907,1,42334733,42335043
268-909,1,42491684,42491938
269-910,1,42684483,42685011
270-910,1,42686605,42686928
271-910,1,42694074,42698816
272-911,1,42851139,42851682
273-912,1,42952792,42953552
274-913,1,43092247,43092816
275-913,1,43098480,43098954
276-914,1,43163728,43164080
277-914,1,43226262,43226505
278-916,1,43445470,43446568
279-917,1,43553864,43554185
280-919,1,43827314,43828135
281-919,1,43854804,43855135
282-920,1,43933652,43934550
283-921,1,44101935,44102758
284-921,1,44147610,44148213
285-922,1,44198712,44199005
286-922,1,44290910,44291265
287-923,1,44315997,44316198
288-923,1,44360621,44360840
289-923,1,44374971,44375276
290-923,1,44375387,44375620
291-924,1,44480560,44481757
292-924,1,44491173,44491684
293-924,1,44551578,44552491
294-925,1,44608434,44609155
295-925,1,44692692,44693205
296-926,1,44728583,44728817
297-928,1,44959386,44960341
298-929,1,45165435,45165668
299-929,1,45205144,45206001
300-930,1,45236975,45237195
301-932,1,45557501,45557747
302-933,1,45735236,45735659
303-934,1,45795375,45795757
304-935,1,45925515,45925794
305-936,1,46088837,46089250
306-938,1,46383195,46383455
307-939,1,46425460,46425706
308-939,1,46449189,46449971
309-942,1,46852696,46854053
310-943,1,46978848,46979312
311-943,1,46997401,46998093
312-944,1,47105825,47106078
313-944,1,47181215,47181542
314-947,1,47456411,47456780
315-948,1,47629022,47630356
316-949,1,47721043,47721501
317-952,1,48231198,48231720
318-953,1,48354463,48354676
319-953,1,48362858,48363301
320-954,1,48423925,48424158
321-955,1,48545670,48547050
322-956,1,48673407,48673616
323-956,1,48737809,48738178
324-956,1,48741507,48741960
325-958,1,48928005,48928246
326-961,1,49321704,49322073
327-963,1,49610825,49611067
328-967,1,50159850,50160062
329-973,1,50927047,50928062
330-976,1,51256816,51257465
331-977,1,51433412,51433739
332-977,1,51478159,51478621
333-981,1,51915183,51916194
334-982,1,52113708,52113995
335-982,1,52119293,52119737
336-983,1,52232207,52233503
337-984,1,52399940,52400886
338-985,1,52500031,52500827
339-986,1,52590082,52590462
340-986,1,52594007,52594253
341-986,1,52630541,52630942
342-987,1,52726717,52727529
343-987,1,52817206,52817862
344-988,1,52844903,52845295
345-988,1,52893705,52893924
346-988,1,52939538,52940202
347-988,1,52952626,52952957
348-990,1,53133445,53133674
349-991,1,53296788,53297379
350-992,1,53352464,53352777
351-993,1,53505012,53505335
352-994,1,53696221,53696641
353-994,1,53706523,53706879
354-995,1,53784769,53785369
355-998,1,54194342,54195242
356-998,1,54250569,54250800
357-999,1,54265598,54265903
358-1000,1,54438757,54439059
359-1001,1,54557255,54557805
360-1004,1,54925725,54926617
361-1004,1,54957230,54957497
362-1004,1,55026873,55027605
363-1005,1,55052507,55053297
364-1005,1,55087410,55088640
365-1005,1,55131057,55131773
366-1006,1,55236985,55237816
367-1007,1,55362481,55363657
368-1007,1,55405582,55406648
369-1008,1,55482472,55482713
370-1010,1,55779463,55779692
371-1012,1,56008428,56008646
372-126,1,56098458,56099198
373-1013,1,56137038,56137271
374-1017,1,56714461,56714992
375-1018,1,56773317,56773546
376-1019,1,56969619,56969873
377-1019,1,56970858,56971119
378-1019,1,56971509,56973501
379-1019,1,56977104,56977392
380-1020,1,57070431,57070758
381-1022,1,57377474,57378019
382-1022,1,57406137,57407067
383-1025,1,57774698,57775632
384-1027,1,57969733,57970245
385-1027,1,57995863,57996253
386-1030,1,58329120,58329361
387-1030,1,58392748,58393897
388-1030,1,58423343,58424130
389-1030,1,58445081,58445545
390-1031,1,58504543,58505162
391-1031,1,58585919,58586427
392-1032,1,58711442,58711764
393-1032,1,58713384,58713657
394-1033,1,58795582,58795852
395-1033,1,58817428,58817753
396-1034,1,58930760,58931190
397-1034,1,58931892,58932099
398-1034,1,58973210,58974117
399-1036,1,59119776,59120480
400-1036,1,59236919,59237493
401-1037,1,59349658,59349985
402-1038,1,59481951,59483937
403-1040,1,59670335,59670900
404-1040,1,59684856,59685215
405-1040,1,59762785,59764213
406-1042,1,59912548,59913890
407-1043,1,60042646,60043499
408-1043,1,60098156,60098777
409-1044,1,60180214,60180985
410-1045,1,60320119,60320560
411-1045,1,60343255,60343657
412-1045,1,60409278,60410251
413-1047,1,60566182,60567260
414-1048,1,60730614,60730843
415-1051,1,61169936,61170304
416-1051,1,61209564,61209797
417-1054,1,61497966,61499557
418-1054,1,61514242,61515172
419-1054,1,61586429,61587294
420-1055,1,61638736,61639406
421-1055,1,61670743,61671184
422-1060,1,62295416,62295694
423-1060,1,62295799,62296118
424-1062,1,62539710,62540094
425-1063,1,62702838,62703748
426-1063,1,62705850,62707032
427-1066,1,63113485,63114349
428-133,1,63176547,63177427
429-1067,1,63248289,63248615
430-1067,1,63273063,63273913
431-1068,1,63309157,63309711
432-1068,1,63365284,63365489
433-1069,1,63445715,63446529
434-1071,1,63803799,63804334
435-1072,1,63836098,63836403
436-1072,1,63859136,63859355
437-1072,1,63886276,63887194
438-1074,1,64121601,64122394
439-1074,1,64178312,64178527
440-1074,1,64183940,64184169
441-1074,1,64184849,64185277
442-1076,1,64384122,64384614
443-1077,1,64532367,64533738
444-1077,1,64616945,64617792
445-1078,1,64690534,64691585
446-1078,1,64734847,64737979
447-1080,1,64956498,64956870
448-1080,1,64960423,64960655
449-1080,1,64966076,64966290
450-1080,1,64966933,64967378
451-1080,1,64994405,64994627
452-1082,1,65178904,65179373
453-1082,1,65186379,65187053
454-1088,1,65979539,65980143
455-1088,1,66023383,66023776
456-1089,1,66175116,66175645
457-1090,1,66277132,66277667
458-1092,1,66468022,66468623
459-1093,1,66677401,66677639
460-1093,1,66700752,66701351
461-1094,1,66816436,66817867
462-1095,1,66862839,66863486
463-1096,1,67038520,67038937
464-1096,1,67107962,67108227
465-1098,1,67259341,67259594
466-1099,1,67442053,67442423
467-1101,1,67757188,67757417
468-1108,1,68589112,68589633
469-1108,1,68624935,68625486
470-1112,1,69107034,69108107
471-1113,1,69231443,69232328
472-1114,1,69376995,69377218
473-1114,1,69377803,69378045
474-1116,1,69687269,69687830
475-1116,1,69701934,69702150
476-1117,1,69826863,69827202
477-1120,1,70238199,70238420
478-1123,1,70634987,70635551
479-1126,1,70986216,70986865
480-1127,1,71085767,71086416
481-1127,1,71102404,71103220
482-1130,1,71556948,71557367
483-1131,1,71652697,71653358
484-1133,1,71870040,71870259
485-1135,1,72131309,72131592
486-1135,1,72211749,72212422
487-1136,1,72225934,72226250
488-1136,1,72236403,72236956
489-1136,1,72243822,72244223
490-1136,1,72254745,72255018
491-1138,1,72536152,72536389
492-1138,1,72536961,72537217
493-1139,1,72640793,72641380
494-1139,1,72710861,72711718
495-1140,1,72824306,72824937
496-1140,1,72825362,72825653
497-1140,1,72873698,72873966
498-1144,1,73323952,73324465
499-1145,1,73478637,73478847
500-1146,1,73646936,73647183
501-1148,1,73907271,73907503
502-1149,1,74036952,74037248
503-1150,1,74068492,74068975
504-1150,1,74098213,74098786
505-1150,1,74124244,74124923
506-1151,1,74236278,74237193
507-1151,1,74284463,74285135
508-1151,1,74303866,74304355
509-1152,1,74332449,74332824
510-1152,1,74391332,74392430
511-1152,1,74397307,74397538
512-1153,1,74505461,74506819
513-1154,1,74587633,74588472
514-1154,1,74601094,74601459
515-1154,1,74659204,74659452
516-1154,1,74661672,74662164
517-1155,1,74713618,74713831
518-1155,1,74748732,74749045
519-1155,1,74771686,74772209
520-1155,1,74782669,74783024
521-1155,1,74784035,74784616
522-1155,1,74791733,74792242
523-1155,1,74800537,74800744
524-1155,1,74803204,74803609
525-1155,1,74816944,74817187
526-1156,1,74854859,74856469
527-1156,1,74858468,74858684
528-1156,1,74881947,74882612
529-1156,1,74884301,74885613
530-1156,1,74892725,74893136
531-1156,1,74900555,74900984
532-1156,1,74948137,74948436
533-1156,1,74950631,74952093
534-1158,1,75124739,75125149
535-1158,1,75141432,75143190
536-1158,1,75168558,75168942
537-1158,1,75210804,75211065
538-1158,1,75219212,75219982
539-1159,1,75236328,75236960
540-1159,1,75251753,75251964
541-1159,1,75263922,75264333
542-1159,1,75317105,75318069
543-1159,1,75360355,75360970
544-1160,1,75369572,75369788
545-1160,1,75375225,75375786
546-1160,1,75381924,75382387
547-1160,1,75384918,75385180
548-1160,1,75387985,75389104
549-1160,1,75421988,75423440
550-1160,1,75450376,75450680
551-1160,1,75458473,75458772
552-1160,1,75475043,75475252
553-1160,1,75475918,75476150
554-1160,1,75478669,75479786
555-1160,1,75482645,75483019
556-1160,1,75486710,75486948
557-1160,1,75487636,75488078
558-1161,1,75503722,75503961
559-1161,1,75505201,75506384
560-1161,1,75521431,75521985
561-1161,1,75546264,75546756
562-1162,1,75713997,75715376
563-1169,1,76589834,76590102
564-1176,1,77514349,77515453
565-1177,1,77668988,77669246
566-1181,1,78189565,78189829
567-1181,1,78196631,78197287
568-1181,1,78203836,78204189
569-1181,1,78215957,78216242
570-1181,1,78216544,78217797
571-1181,1,78246856,78247166
572-1182,1,78310063,78310738
573-1183,1,78488483,78488916
574-1183,1,78511827,78512070
575-1185,1,78657622,78658549
576-1186,1,78830094,78830490
577-1188,1,79126333,79126660
578-1192,1,79671574,79671937
579-1193,1,79761251,79761833
580-1193,1,79775983,79776386
581-1194,1,79858193,79859006
582-1194,1,79937088,79937535
583-1194,1,79938125,79938395
584-1196,1,80142078,80142339
585-1197,1,80339857,80341091
586-1200,1,80693878,80694183
587-1201,1,80758071,80758785
588-1202,1,80983877,80984196
589-1206,1,81498596,81498906
590-1207,1,81564299,81564512
591-1207,1,81569933,81570203
592-1207,1,81571026,81571239
593-1212,1,82283183,82283558
594-1212,1,82290195,82291822
595-1213,1,82316445,82316916
596-1214,1,82502141,82502427
597-1216,1,82724792,82725181
598-1217,1,82839328,82840320
599-1221,1,83462960,83463265
600-1222,1,83517118,83517461
601-1227,1,84263522,84264587
602-1228,1,84284316,84284740
603-1229,1,84451768,84452073
604-1231,1,84695498,84696311
605-1231,1,84700605,84701054
606-1232,1,84838454,84840300
607-19,1,84934572,84935054
608-1233,1,85047749,85047983
609-1233,1,85057366,85057876
610-1234,1,85067052,85067259
611-1234,1,85144504,85144987
612-1234,1,85147590,85147890
613-1237,1,85475822,85476305
614-1239,1,85793327,85794491
615-1240,1,85894474,85894906
616-1241,1,86018289,86018836
617-1241,1,86045856,86046583
618-1241,1,86064458,86065168
619-1242,1,86154608,86155041
620-1243,1,86303140,86303984
621-1243,1,86358611,86360007
622-1244,1,86434301,86434867
623-1244,1,86441992,86443154
624-1244,1,86487213,86488016
625-1244,1,86503849,86504493
626-1245,1,86524827,86528579
627-1245,1,86582144,86582638
628-1245,1,86587037,86587467
629-1246,1,86669612,86670874
630-1246,1,86703618,86704161
631-1249,1,87079677,87080066
632-1249,1,87098682,87098940
633-1249,1,87139408,87139786
634-1249,1,87153912,87156186
635-1250,1,87186574,87187227
636-1250,1,87213816,87214538
637-1250,1,87264206,87264956
638-1251,1,87326822,87327563
639-1252,1,87461179,87461671
640-1252,1,87475331,87475685
641-1252,1,87509540,87510557
642-1254,1,87755866,87756662
643-1255,1,87853142,87853897
644-1256,1,88008207,88008601
645-1256,1,88034773,88035286
646-1257,1,88205329,88205799
647-1258,1,88277213,88277704
648-1261,1,88700953,88702514
649-1264,1,89069976,89071245
650-1265,1,89200202,89200431
651-1265,1,89216766,89217487
652-1267,1,89454368,89455875
653-1268,1,89580085,89581800
654-1271,1,89922851,89923131
655-1271,1,89928656,89928995
656-1271,1,89930082,89931398
657-1271,1,89941589,89942209
658-1271,1,89968235,89968791
659-1271,1,89992163,89992477
660-1271,1,89992933,89993202
661-1276,1,90603176,90603837
662-1276,1,90627992,90628255
663-1279,1,90998517,90999142
664-1279,1,91052628,91053515
665-1281,1,91250291,91250853
666-1281,1,91297895,91298794
667-1281,1,91344457,91345817
668-1282,1,91366303,91366752
669-1282,1,91398097,91399067
670-1282,1,91412380,91413380
671-1282,1,91414213,91414442
672-1282,1,91458999,91459734
673-1282,1,91476981,91477210
674-1283,1,91494464,91495191
675-1283,1,91540317,91541072
676-1285,1,91800886,91802681
677-1288,1,92179620,92181074
678-1290,1,92418272,92418479
679-1290,1,92473460,92473964
680-1291,1,92641726,92642045
681-1293,1,92831246,92832865
682-1293,1,92848434,92848783
683-1293,1,92906972,92907592
684-1293,1,92910510,92911527
685-1294,1,92934261,92934948
686-1295,1,93100328,93100711
687-1295,1,93101580,93102109
688-1295,1,93107361,93107717
689-1295,1,93111124,93111599
690-1295,1,93176597,93176931
691-1296,1,93235701,93236507
692-1296,1,93305704,93305961
693-1297,1,93342560,93344092
694-1297,1,93401446,93401652
695-1297,1,93444931,93445766
696-1298,1,93478226,93479457
697-1298,1,93511776,93512413
698-1299,1,93635101,93635978
699-1299,1,93685454,93686634
700-1300,1,93753866,93755348
701-1300,1,93801690,93802178
702-1300,1,93803477,93804391
703-1300,1,93845181,93845530
704-1301,1,93874525,93874841
705-1301,1,93940675,93940991
706-1301,1,93956592,93957020
707-1301,1,93957684,93957913
708-1301,1,93960968,93961285
